,시도,중분류,시군구,소분류,읍면동,영문 표기,지명 갯수
3152,경상북도,37030.0,김천시,37030600.0,자산동,Jasan-dong in Gimcheon-si,2
1768,경기도,31230.0,김포시,31230560.0,장기동,Janggi-dong in Gimpo-si,2
799,대구광역시,22070.0,달서구,22070590.0,장기동,Janggi-dong in Dalseo-gu,2
1783,경기도,31240.0,화성시,31240390.0,장안면,Jangan-myeon in Hwaseong-si,2
2196,충청북도,33520.0,보은군,33520320.0,장안면,Jangan-myeon in Boeun-gun,2
2458,충청남도,34550.0,청양군,34550360.0,장평면,Jangpyeong-myeon in Cheongyang-gun,2
2955,전라남도,36580.0,장흥군,36580340.0,장평면,Jangpyeong-myeon in Jangheung-gun,2
2267,충청북도,33580.0,단양군,33580360.0,적성면,Jeokseong-myeon in Danyang-gun,2
2725,전라북도,35560.0,순창군,35560330.0,적성면,Jeokseong-myeon in Sunchang-gun,2
1717,경기도,31200.0,파주시,31200370.0,적성면,Jeokseong-myeon in Paju-si,2
1281,경기도,31011.0,장안구,31011560.0,정자1동,Jeongja 1(il)-dong in Jangan-gu,2
1363,경기도,31023.0,분당구,31023770.0,정자1동,Jeongja 1(il)-dong in Bundang-gu,2
1364,경기도,31023.0,분당구,31023550.0,정자2동,Jeongja 2(i)-dong in Bundang-gu,2
1282,경기도,31011.0,장안구,31011570.0,정자2동,Jeongja 2(i)-dong in Jangan-gu,2
1283,경기도,31011.0,장안구,31011620.0,정자3동,Jeongja 3(sam)-dong in Jangan-gu,2
1365,경기도,31023.0,분당구,31023560.0,정자3동,Jeongja 3(sam)-dong in Bundang-gu,2
2533,전라북도,35012.0,덕진구,35012670.0,조촌동,Jochon-dong in Deokjin-gu,3
2554,전라북도,35020.0,군산시,35020650.0,조촌동,Jochon-dong in Gunsan-si,2
2330,충청남도,34030.0,보령시,34030380.0,주산면,Jusan-myeon in Boryeong-si,2
2745,전라북도,35580.0,부안군,35580310.0,주산면,Jusan-myeon in Buan-gun,2
2033,강원도,32530.0,영월군,32530360.0,주천면,Jucheon-myeon in Yeongwol-gun,2
2687,전라북도,35520.0,진안군,35520400.0,주천면,Jucheon-myeon in Jinan-gun,3
2620,전라북도,35050.0,남원시,35050310.0,주천면,Jucheon-myeon in Namwon-si,2
1751,경기도,31220.0,안성시,31220400.0,죽산면,Juksan-myeon in Anseong-si,2
2644,전라북도,35060.0,김제시,35060310.0,죽산면,Juksan-myeon in Gimje-si,2
782,대구광역시,22060.0,수성구,22060630.0,중동,Jung-dong in Suseong-gu,2
1432,경기도,31050.0,부천시,31050890.0,중동,Jung-dong in Bucheon-si,2
1739,경기도,31210.0,이천시,31210520.0,중리동,Jungni-dong in Icheon-si,2
1180,대전광역시,25050.0,대덕구,25050550.0,중리동,Jungni-dong in Daedeok-gu,2
348,서울특별시,11210.0,관악구,11210610.0,중앙동,Jungang-dong in Gwanak-gu,2
3517,경상남도,38030.0,진주시,38030740.0,중앙동,Jungang-dong in Jinju-si,3
3243,경상북도,37070.0,영천시,37070520.0,중앙동,Jungang-dong in Yeongcheon-si,2
3449,경상남도,38112.0,성산구,38112520.0,중앙동,Jungang-dong in seongsan-gu,2
455,부산광역시,21010.0,중구,21010510.0,중앙동,Jungang-dong in Jung-gu in Busan,3
3539,경상남도,38050.0,통영시,38050530.0,중앙동,Jungang-dong in Tongyeong-si,2
3622,경상남도,38100.0,양산시,38100580.0,중앙동,Jungang-dong in Yangsan-si,2
3297,경상북도,37100.0,경산시,37100510.0,중앙동,Jungang-dong in Gyeongsan-si,2
3802,제주특별자치도,39020.0,서귀포시,39020530.0,중앙동,Jungang-dong in Seogwipo-si,2
2793,전라남도,36020.0,여수시,36020530.0,중앙동,Jungang-dong in Yeosu-si,2
1675,경기도,31191.0,처인구,31191510.0,중앙동,Jungang-dong in Cheoin-gu,3
1101,대전광역시,25010.0,동구,25010760.0,중앙동,Jungang-dong in Dong-gu in Daejeon,3
2832,전라남도,36030.0,순천시,36030620.0,중앙동,Jungang-dong in Suncheon-si,2
2108,충청북도,33041.0,상당구,33041510.0,중앙동,Jungang-dong in Sangdang-gu,2
1605,경기도,31140.0,오산시,31140510.0,중앙동,Jungang-dong in Osan-si,2
1195,울산광역시,26010.0,중구,26010670.0,중앙동,Jungang-dong in Jung-gu in Ulsan,3
1572,경기도,31110.0,과천시,31110510.0,중앙동,Jungang-dong in Gwacheon-si,2
2580,전라북도,35030.0,익산시,35030510.0,중앙동,Jungang-dong in Iksan-si,2
2552,전라북도,35020.0,군산시,35020600.0,중앙동,Jungang-dong in Gunsan-si,2
2186,충청북도,33030.0,제천시,33030740.0,중앙동,jungang-dong in Jecheon-si,2
1513,경기도,31092.0,단원구,31092750.0,중앙동,Jungang-dong in Danwon-gu,2
2500,전라북도,35011.0,완산구,35011740.0,중앙동,Jungang-dong in Wansan-gu,2
1347,경기도,31022.0,중원구,31022620.0,중앙동,Jungang-dong in Jungwon-gu,2
2281,충청남도,34011.0,동남구,34011510.0,중앙동,Jungang-dong in Dongnam-gu,2
1470,경기도,31070.0,평택시,31070510.0,중앙동,Jungang-dong in Pyeongtaek-si,2
1051,광주광역시,24040.0,북구,24040540.0,중앙동,Jungang-dong in Buk-gu in Gwangju,3
1853,경기도,31280.0,여주시,31280520.0,중앙동,Jungang-dong in Yeoju-si,2
1489,경기도,31080.0,동두천시,31080530.0,중앙동,Jungang-dong in Dongducheon-si,2
3104,경상북도,37012.0,북구,37012670.0,중앙동,Jungang-dong in Buk-gu in Gyeongsangbuk-do,3
1950,강원도,32030.0,강릉시,32030520.0,중앙동,Jungang-dong in Gangneung-si,2
1924,강원도,32020.0,원주시,32020510.0,중앙동,Jungang-dong in Wonju-si,2
2362,충청남도,34050.0,서산시,34050340.0,지곡면,Jigok-myeon in Seosan-si,2
3728,경상남도,38580.0,함양군,38580350.0,지곡면,Jigok-myeon in Hamyang-gun,2
786,대구광역시,22060.0,수성구,22060670.0,지산1동,Jisan 1(il)-dong in Suseong-gu,2
1003,광주광역시,24010.0,동구,24010620.0,지산1동,Jisan 1(il)-dong in Dong-gu in Gwangju,3
787,대구광역시,22060.0,수성구,22060680.0,지산2동,Jisan 2(i)-dong in Suseong-gu,2
1004,광주광역시,24010.0,동구,24010630.0,지산2동,Jisan 2(i)-dong in Dong-gu in Gwangju,3
3196,경상북도,37050.0,구미시,37050560.0,지산동,Jisan-dong in Gumi-si,2
1473,경기도,31070.0,평택시,31070550.0,지산동,Jisan-dong in Pyeongtaek-si,2
1918,강원도,32020.0,원주시,32020330.0,지정면,Jijeong-myeon in Wonju-si,2
3638,경상남도,38510.0,의령군,38510370.0,지정면,Jijeong-myeon in Uiryeong-gun,2
3356,경상북도,37550.0,영덕군,37550380.0,창수면,Changsu-myeon in Yeongdeok-gun,2
1833,경기도,31270.0,포천시,31270350.0,창수면,Changsu-myeon in Pocheon-si,2
2326,충청남도,34030.0,보령시,34030340.0,천북면,Cheonbuk-myeon in Boryeong-si,2
3124,경상북도,37020.0,경주시,37020380.0,천북면,Cheonbuk-myeon in Gyeongju-si,2
2288,충청남도,34011.0,동남구,34011580.0,청룡동,Cheongnyong-dong in Dongnam-gu,2
346,서울특별시,11210.0,관악구,11210800.0,청룡동,Cheongnyong-dong in Gwanak-gu,2
342,서울특별시,11210.0,관악구,11210540.0,청림동,Cheongnim-dong in Gwanak-gu,2
3092,경상북도,37011.0,남구,37011560.0,청림동,Cheongnim-dong in Nam-gu in Gyeongsangbuk-do,3
2211,충청북도,33530.0,옥천군,33530350.0,청산면,Cheongsan-myeon in Okcheon-gun,2
3050,전라남도,36660.0,완도군,36660350.0,청산면,Cheongsan-myeon in Wando-gun,2
1859,경기도,31550.0,연천군,31550320.0,청산면,Cheongsan-myeon in Yeoncheon-gun,2
2938,전라남도,36570.0,화순군,36570330.0,청풍면,Cheongpung-myeon in Hwasun-gun,2
2178,충청북도,33030.0,제천시,33030320.0,청풍면,Cheongpung-myeon in Jecheon-si,2
3099,경상북도,37012.0,북구,37012320.0,청하면,Cheongha-myeon in Buk-gu in Gyeongsangbuk-do,3
2650,전라북도,35060.0,김제시,35060370.0,청하면,Cheongha-myeon in Gimje-si,2
3522,경상남도,38030.0,진주시,38030660.0,초장동,Chojang-dong in Jinju-si,3
473,부산광역시,21020.0,서구,21020630.0,초장동,Chojang-dong in Seo-gu in Busan,3
3414,경상북도,37610.0,봉화군,37610340.0,춘양면,Chunyang-myeon in Bonghwa-gun,2
2937,전라남도,36570.0,화순군,36570320.0,춘양면,Chunyang-myeon in Hwasun-gun,2
3485,경상남도,38115.0,진해구,38115660.0,충무동,Chungmu-dong in Jinhae-gu,3
2794,전라남도,36020.0,여수시,36020540.0,충무동,Chungmu-dong in Yeosu-si,2
474,부산광역시,21020.0,서구,21020640.0,충무동,Chungmu-dong in Seo-gu in Busan,3
1128,대전광역시,25020.0,중구,25020630.0,태평1동,Taepyeong 1(il)-dong in Jung-gu in Daejeon,3
1331,경기도,31021.0,수정구,31021540.0,태평1동,Taepyeong 1(il)-dong in Sujeong-gu,2
